document_id,filename,tahun_terbit,rentang_tahun,layer_1_primary,layer_2_primary,layer_1_all,layer_2_all,jumlah_label,indikator_outlier,content_snippet
23,akn_id_act_uu_1945_1.json,1945,1945 - 1949,Domain Hak,Barat Lembaran,"Domain Hak, Domain Negara, Domain Barat","Barat Lembaran, Paling Adalah, Uang Peraturan, Pegawai Adalah, Desa Kota, Pengadilan Surat, Tingkat Kecamatan, Daerah Papua, Daerah Perkataan, Hak Ciptaan",13,No,DOKUMEN HUKUM: Undang-Undang Nomor 1 Tahun 1945 tentang Peraturan Mengenai Kedudukan Komite Nasional Daerah  Pasal 1: Komite Nasional Daerah diadakan-...
24,akn_id_act_uu_1946_1.json,1946,1945 - 1949,Domain Hak,Desa Kota,"Domain Hak, Domain Barat","Desa Kota, Pengadilan Surat, Daerah Perkataan, Daerah Papua",6,No,DOKUMEN HUKUM: Undang-Undang Nomor 1 Tahun 1946 tentang Peraturan Hukum Pidana  Pasal 1: Dengan menyimpang seperlunya dari Peraturan Presiden Republik...
25,akn_id_act_uu_1946_10.json,1946,1945 - 1949,Domain Barat,Negara Republik,"Domain Barat, Domain Tambahan, Domain Pajak, Domain Hak, Domain Negara","Negara Republik, Pegawai Adalah, Pengadilan Surat, Laporan Huruf, Paling Adalah, Barat Lembaran, Adalah Dana, Tambahan Ketentuan, Tingkat Kecamatan, Peraturan Berlaku, Pemerintah Government, Daerah Papua, Hak Ciptaan, Desa Kota, Wilayah Agama, Daerah Perkataan, Uang Peraturan, Pajak Pasal",23,No,DOKUMEN HUKUM: Undang-Undang Nomor 10 Tahun 1946 tentang Pembawaan Uang dari Satu ke Lain Daerah  Pasal 1: Barang siapa bepergian dari daerah-daerah y...
26,akn_id_act_uu_1946_11.json,1946,1945 - 1949,Domain Barat,Negara Republik,"Domain Barat, Domain Tambahan, Domain Pajak, Domain Hak, Domain Negara","Negara Republik, Pegawai Adalah, Pengadilan Surat, Paling Adalah, Barat Lembaran, Tambahan Ketentuan, Tingkat Kecamatan, Peraturan Berlaku, Pemerintah Government, Hak Ciptaan, Lampiran Pelabuhan, Desa Kota, Wilayah Agama, Daerah Perkataan, Perhitungan Ketentuan, Uang Peraturan, Pajak Pasal",22,No,DOKUMEN HUKUM: Undang-Undang Nomor 11 Tahun 1946 tentang Peraturan Tentang Mengadakan Perubahan dalam Peraturan Bea Meterai Quotzegelverordeningquot 1...
27,akn_id_act_uu_1946_12.json,1946,1945 - 1949,Domain Hak,Paling Adalah,"Domain Hak, Domain Negara, Domain Barat","Paling Adalah, Pegawai Adalah, Desa Kota, Pengadilan Surat, Tingkat Kecamatan, Daerah Papua, Daerah Perkataan, Hak Ciptaan",11,No,DOKUMEN HUKUM: Undang-Undang Nomor 12 Tahun 1946 tentang Pembaharuan Susunan Komite Nasional Pusat  Pasal 1: 1. Jumlah anggauta Komite Nasional Pusat ...
28,akn_id_act_uu_1946_13.json,1946,1945 - 1949,Domain Pajak,Barat Lembaran,"Domain Pajak, Domain Hak, Domain Negara, Domain Barat","Barat Lembaran, Desa Kota, Tingkat Kecamatan, Peraturan Berlaku, Daerah Perkataan",9,No,"DOKUMEN HUKUM: Undang-Undang Nomor 13 Tahun 1946 tentang Penghapusan Desa-desa Perdikan  Pasal 1: Yang dianggap sebagai desa perdikan, ialah semua des..."
29,akn_id_act_uu_1946_14.json,1946,1945 - 1949,Domain Tambahan,Perhitungan Ketentuan,"Domain Tambahan, Domain Pajak, Domain Hak, Domain Negara, Domain Barat","Perhitungan Ketentuan, Barat Lembaran, Negara Republik, Lampiran Pelabuhan, Pajak Pasal, Uang Peraturan, Tambahan Ketentuan, Desa Kota, Tingkat Kecamatan, Wilayah Agama, Peraturan Berlaku, Daerah Perkataan",17,No,DOKUMEN HUKUM: Undang-Undang Nomor 14 Tahun 1946 tentang Pemilihan Kepala Desa  Pasal 2: Undang-undang ini mulai berlaku pada hari diumumkannya. Perat...
30,akn_id_act_uu_1946_15.json,1946,1945 - 1949,Domain Tambahan,Perhitungan Ketentuan,"Domain Tambahan, Domain Pajak, Domain Hak, Domain Negara","Perhitungan Ketentuan, Uang Peraturan, Tambahan Ketentuan, Laporan Huruf, Pajak Pasal, Peraturan Berlaku, Daerah Perkataan",11,No,DOKUMEN HUKUM: Undang-Undang Nomor 15 Tahun 1946 tentang Tambahan Pokok Pajak Bumi 1946 1947  Pasal 1: Dari ketetapan pajak-bumi Jawa dan Madura (Stbl...
31,akn_id_act_uu_1946_16.json,1946,1945 - 1949,Domain Tambahan,Negara Republik,"Domain Tambahan, Domain Hak, Domain Negara, Domain Barat","Negara Republik, Lampiran Pelabuhan, Uang Peraturan, Pegawai Adalah, Tambahan Ketentuan, Pemerintah Government, Daerah Papua",11,No,DOKUMEN HUKUM: Undang-Undang Nomor 16 Tahun 1946 tentang Pernyataan Keadaan Bahaya di Seluruh Indonesia
32,akn_id_act_uu_1946_17.json,1946,1945 - 1949,Domain Tambahan,Perhitungan Ketentuan,"Domain Tambahan, Domain Pajak, Domain Hak, Domain Negara, Domain Barat","Perhitungan Ketentuan, Negara Republik, Lampiran Pelabuhan, Pajak Pasal, Pegawai Adalah, Uang Peraturan, Adalah Dana, Tambahan Ketentuan, Laporan Huruf, Peraturan Berlaku, Pemerintah Government, Daerah Perkataan, Daerah Papua",18,No,DOKUMEN HUKUM: Undang-Undang Nomor 17 Tahun 1946 tentang Pengeluaran Uang Republik Indonesia  Pasal 1: Pemerintah mengeluarkan Uang Republik Indonesia...
